E8|ỉb,ib,yb,jb|38|31
E8A||32|38
E9|ỉw,iw,yw,jw|38|28
F1||18|18
F10||15|38
F11||18|36
F12|wsr|14|38
F13|wp|32|24
F14||36|38
F15||36|38
F16|ꜥb,ab|38|23
F17||38|38
F18|bḥ,ḥw,bH,Hw|38|11
F19||38|19
F2||38|34
F20|ns|38|28
F21|sḏm,sDm|24|19
F22|pḥ,pH|26|20
F23||38|14
F24||38|14
F25|wḥm,wHm|12|38
F26|ẖn,Xn|37|25
F27||18|38
F28|sꜣb,sAb|18|38
F29|st|34|38
F3|ꜣt,At|36|24
F30|šd,Sd|38|27
F31|ms|18|37
F31s||14|27
F32|X,ẖ|38|9
F33|sd|36|22
F34|ỉb,ib,yb,jb|18|17
F35|nfr|12|38
F36|zmꜣ,zmA,smA|13|37
F37||38|21
F37B||32|19
F38||22|15
F39&Z1|F39:Z1|31|38
F39||31|31
F4||38|23
F40|ꜣw,Aw|38|31
F41||25|24
F42|spr|36|11
F43||18|20
F44|isw,iwꜥ,isw,iwa|36|18
F45||20|38
F46||35|11
F47||35|11
F48||35|12
F49||35|12
F5||30|38
F50|spḫr,spxr|35|38
F51|ỉs,ỉst,ws,is,ist,ys,yst,js,jst|14|17
F51A||17|14
F51B||17|14
F52||15|20
F6||32|35
F7||37|28
F8||36|38
F9||18|26
G1|A,ꜣ|35|38
G10||38|38
G11||34|18
G12||34|21
G13||35|30
G14&t|G14*t,G14*X1|38|38
G14|mt,mwt|35|38
G15||35|38
G16||41|38
G17|m|35|38
G17s||24|27
G18|mm|46|38
G19|mỉ,mi,my,mj|38|38
G1s||25|27
G2|ꜣꜣ,AA|41|37
G20||38|38
G21|nḥ,nH|36|38
G22|ḏb,ḏbt,Db,Dbt|38|31
G23||42|38
G24||38|25
G25|ꜣḫ,Ax|38|38
G26||36|38
G26A||38|38
G27|dšr,dSr|37|27
G28|gm|40|22
G29|bꜣ,bA|36|38
G3|mꜣ,mA|38|38
G30||52|38
G31||38|38
G32||37|38
G33||38|38
G34||29|38
G35|ꜥq,aq|38|31
G36|wr|38|25
G37||38|28
G38|gb|38|38
G39|zꜣ,zA,sA|38|38
G4|tiw,tyw,tiw,tjw|36|38
G40|pꜣ,pA|38|34
